file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
sample_fixed,0.0,3.864,alignment_test,-45.73082800356217,-47.06029510498047,0.7071067811865476,21.32421957280225
sample,0.0,3.864,alignment_test,-56.1051246761658,,,6.829333472483838
